threshold,roc_auc,average_precision,brier_score,accuracy,precision,recall,f1,tn,fp,fn,tp,estimated_cost_brl
0.2,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.848,0.39517625231910947,0.4660831509846827,0.42771084337349397,2967,326,244,213,2603000.0
0.21,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8517333333333333,0.401980198019802,0.4442013129102845,0.42203742203742206,2991,302,254,203,2691000.0
0.22,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8570666666666666,0.4168421052631579,0.43326039387308535,0.4248927038626609,3016,277,259,198,2728500.0
0.23,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8597333333333333,0.423841059602649,0.4201312910284464,0.421978021978022,3032,261,265,192,2780500.0
0.24,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8637333333333334,0.4357142857142857,0.40043763676148797,0.41733181299885974,3056,237,274,183,2858500.0
0.25,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8642666666666666,0.435,0.38074398249452956,0.40606767794632437,3067,226,283,174,2943000.0
0.26,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8634666666666667,0.4289405684754522,0.36323851203501095,0.3933649289099526,3072,221,291,166,3020500.0
0.27,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8674666666666667,0.44565217391304346,0.3588621444201313,0.3975757575757576,3089,204,293,164,3032000.0
0.28,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8704,0.4586894586894587,0.3522975929978118,0.39851485148514854,3103,190,296,161,3055000.0
0.29,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8717333333333334,0.46407185628742514,0.33916849015317285,0.3919089759797724,3114,179,302,155,3109500.0
0.3,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8746666666666667,0.4793650793650794,0.3304157549234136,0.3911917098445596,3129,164,306,151,3142000.0
0.31,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.876,0.4866666666666667,0.31947483588621445,0.3857331571994716,3139,154,311,146,3187000.0
0.32,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8770666666666667,0.493006993006993,0.3085339168490153,0.3795423956931359,3148,145,316,141,3232500.0
0.33,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8773333333333333,0.4944649446494465,0.29321663019693656,0.36813186813186816,3156,137,323,134,3298500.0
0.34,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8792,0.5076335877862596,0.2910284463894967,0.36995827538247567,3164,129,324,133,3304500.0
0.35,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8794666666666666,0.5099601593625498,0.2800875273522976,0.3615819209039548,3170,123,329,128,3351500.0
0.36,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8813333333333333,0.5254237288135594,0.2713347921225383,0.3578643578643579,3181,112,333,124,3386000.0
0.37,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8829333333333333,0.5405405405405406,0.26258205689277897,0.35346097201767307,3191,102,337,120,3421000.0
0.38,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8829333333333333,0.5420560747663551,0.2538293216630197,0.34575260804769004,3195,98,341,116,3459000.0
0.39,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8834666666666666,0.5476190476190477,0.25164113785557984,0.3448275862068966,3198,95,342,115,3467500.0
0.4,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8842666666666666,0.5566502463054187,0.24726477024070023,0.3424242424242424,3203,90,344,113,3485000.0
0.41,0.7812959124885956,0.4003991297770483,0.08963126626256729,0.8856,0.5729166666666666,0.24070021881838075,0.3389830508474576,3211,82,347,110,3511000.0
